SOC	Job Title	Employment Prospects	Annual Average Openings	"Entry Level Education Required
(per Bureau of Labor Statistics)"	"Work Experience Required
(per Bureau of Labor Statistics)"	"On-the-Job Training Required
(per Bureau of Labor Statistics)"	"Usual Education
Attained by Members of this Occupation*"
SocCode	JobTitle	Prospects	AnnualAvgOpenings	EntryEduLevel	ReqWorkExp	ReqJobTraining	AverageEduLevel
11-1011	Chief Executives	Favorable	260	Bachelor's degree	More than 5 years	None	Bachelor's degree
11-1021	General and Operations Managers	Favorable	1000	Associate's degree	1 to 5 years	None	Bachelor's degree
11-2011	Advertising and Promotions Managers	Very Favorable	160	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-2021	Marketing Managers	Very Favorable	320	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-2022	Sales Managers	Very Favorable	340	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-2031	Public Relations and Fundraising Managers	Very Favorable	170	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-3011	Administrative Services Managers	Very Favorable	320	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
11-3021	Computer and Information Systems Managers	Very Favorable	450	Bachelor's degree	More than 5 years	None	Bachelor's degree
11-3031	Financial Managers	Very Favorable	620	Bachelor's degree	More than 5 years	None	Bachelor's degree
11-3051	Industrial Production Managers	Very Unfavorable	30	Bachelor's degree	1 to 5 years	None	Associate's degree
11-3061	Purchasing Managers	Favorable	60	Bachelor's degree	More than 5 years	None	Bachelor's degree
11-3071	"Transportation, Storage, and Distribution Managers"	Unfavorable	40	High school diploma or equivalent	More than 5 years	None	"Some college, no degree"
11-3111	Compensation and Benefits Managers	Unfavorable	40	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-3121	Human Resources Managers	Very Favorable	150	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-3131	Training and Development Managers	Very Favorable	50	Bachelor's degree	1 to 5 years	None	Bachelor's degree
11-9021	Construction Managers	Very Favorable	150	Associate's degree	More than 5 years	None	High school
11-9031	"Education Administrators, Preschool and Childcare Center/Program"	Favorable	90	Bachelor's degree	1 to 5 years	None	Master's degree
11-9033	"Education Administrators, Postsecondary"	Very Favorable	180	Master's degree	1 to 5 years	None	Master's degree
11-9039	"Education Administrators, All Other"	Very Favorable	40	Bachelor's degree	1 to 5 years	None	Master's degree
11-9041	Architectural and Engineering Managers	Very Favorable	70	Bachelor's degree	More than 5 years	None	Bachelor's degree
11-9051	Food Service Managers	Very Unfavorable	110	High school diploma or equivalent	1 to 5 years	None	"Some college, no degree"
11-9081	Lodging Managers	Favorable	30	High school diploma or equivalent	1 to 5 years	None	Bachelor's degree
11-9111	Medical and Health Services Managers	Very Favorable	430	Bachelor's degree	None	None	Bachelor's degree
11-9121	Natural Sciences Managers	Favorable	40	Bachelor's degree	More than 5 years	None	Doctoral or professional degree
11-9141	"Property, Real Estate, and Community Association Managers"	Favorable	120	High school diploma or equivalent	1 to 5 years	None	Associate's degree
11-9151	Social and Community Service Managers	Very Favorable	200	Bachelor's degree	1 to 5 years	None	Master's degree
11-9199	"Managers, All Other"	Very Favorable	270	High school diploma or equivalent	1 to 5 years	None	Bachelor's degree
