SOCCode	Title	Employment	Mean	Median	Entry	Experienced**				
SocCode	JobTitle	CurrentEmployment	AvgAnnWage	MedianAnnWage	AvgEntryWage	AvgExpWage				
00-0000	"Total, All Occupations"	3737550	62330	45970	22840	82070				
11-0000	Management Occupations	207850	154280	138370	79390	>187200				
11-1011	Chief Executives	7960	>187200	>187200	153060	n/a				
11-1021	General and Operations Managers	54980	163570	149480	77410	>187200				
11-1031	Legislators		112520	109010	76310	130630				
11-2011	Advertising and Promotions Managers	3630	149790	138400	69070	>187200				
11-2021	Marketing Managers	7980	179460	166910	109930	>187200				
11-2022	Sales Managers	9510	>187200	>187200	115760	>187200				
11-2031	Public Relations and Fundraising Managers	4200	152540	141240	95170	181220				
11-3011	Administrative Services Managers	10070	122910	114530	72550	148090				
11-3021	Computer and Information Systems Managers	16520	163420	150340	101110	>187200				
11-3031	Financial Managers	21970	>187200	182180	107960	>187200				
11-3051	Industrial Production Managers	950	124910	113900	77860	148430				
11-3061	Purchasing Managers	1920	147590	135830	85370	178700				
11-3071	"Transportation, Storage, and Distribution Managers"	1160	113510	104830	73670	133430				
11-3111	Compensation and Benefits Managers	1300	141790	133600	88670	168350				
11-3121	Human Resources Managers	5390	130590	116510	79280	156240				
11-3131	Training and Development Managers	1510	137710	131140	84520	164300				
11-9021	Construction Managers	5570	120640	105620	69360	146280				
11-9031	"Education Administrators, Preschool and Childcare Center/Program"	2190	79010	66710	45760	95630				
11-9033	"Education Administrators, Postsecondary"	4510	114240	100300	63540	139590				
11-9039	"Education Administrators, All Other"	400	110520	103070	60910	135320				
11-9041	Architectural and Engineering Managers	2130	148690	139520	96950	174560				
11-9051	Food Service Managers	3690	70090	64770	50230	80020				
11-9061	Funeral Service Managers		144100	134950	87420	172450				
11-9081	Lodging Managers	250	84230	80790	54250	99220				
11-9111	Medical and Health Services Managers	12800	126230	112710	78220	150240				
11-9121	Natural Sciences Managers	680	127020	115030	75920	152570				
11-9141	"Property, Real Estate, and Community Association Managers"	2400	110060	89920	59500	135340				
11-9151	Social and Community Service Managers	5400	83440	79890	57650	96330				
11-9161	Emergency Management Directors		89930	80770	62050	103870				
11-9199	"Managers, All Other"	10670	144060	124740	75130	178530				
13-0000	Business and Financial Operations Occupations	261990	94370	81030	50810	116150				
13-1011	"Agents and Business Managers of Artists, Performers, and Athletes"	2090	94420	75210	45200	119030				
13-1021	"Buyers and Purchasing Agents, Farm Products"		65750	54030	35870	80690				
13-1022	"Wholesale and Retail Buyers, Except Farm Products"	4380	72270	67520	41930	87440				
13-1023	"Purchasing Agents, Except Wholesale, Retail, and Farm Products"	6770	64580	61570	41950	75900				
13-1031	"Claims Adjusters, Examiners, and Investigators"	7190	73310	73490	47620	86160				
13-1041	Compliance Officers	7760	80110	80990	52000	94170				
13-1051	Cost Estimators	2940	83720	80980	47310	101920				
