ID	TEXT	OCCUPATIONID	FAQ_QUESTIONSOURCEID
636724	How do I become a  Administrative Services Managers	1	5023
636725	What education do I need and how do I get it (what schools/training program do you recommend)?	1	5023
636726	What skills do I need and how do I get  them?	1	5023
636727	Where can I get help on Immigration issues?	1	5023
636728	Where is most of the hiring?	1	5023
636729	Do I have to join a union? How do I join a Union?	1	5023
636730	What can I do about Financial Aid?	1	5023
636731	Whats the best way to apply?	1	5023
636732	Whats the best way to network?	1	5023
636733	Where can I go for more assistance?	1	5023
636734	"How do I become a  Advertising, Promotions, and Marketing Managers"	2	5023
636735	What education do I need and how do I get it (what schools/training program do you recommend)?	2	5023
636736	What skills do I need and how do I get  them?	2	5023
636737	Where can I get help on Immigration issues?	2	5023
636738	Where is most of the hiring?	2	5023
636739	Do I have to join a union? How do I join a Union?	2	5023
636740	What can I do about Financial Aid?	2	5023
636741	Whats the best way to apply?	2	5023
636742	Whats the best way to network?	2	5023
636743	Where can I go for more assistance?	2	5023
636744	How do I become a  Architectural and Engineering Managers	3	5023
636745	What education do I need and how do I get it (what schools/training program do you recommend)?	3	5023
636746	What skills do I need and how do I get  them?	3	5023
636747	Where can I get help on Immigration issues?	3	5023
636748	Where is most of the hiring?	3	5023
636749	Do I have to join a union? How do I join a Union?	3	5023
636750	What can I do about Financial Aid?	3	5023
636751	Whats the best way to apply?	3	5023
636752	Whats the best way to network?	3	5023
636753	Where can I go for more assistance?	3	5023
636754	How do I become a  Compensation and Benefits Managers	4	5023
636755	What education do I need and how do I get it (what schools/training program do you recommend)?	4	5023
636756	What skills do I need and how do I get  them?	4	5023
636757	Where can I get help on Immigration issues?	4	5023
636758	Where is most of the hiring?	4	5023
636759	Do I have to join a union? How do I join a Union?	4	5023
636760	What can I do about Financial Aid?	4	5023
636761	Whats the best way to apply?	4	5023
636762	Whats the best way to network?	4	5023
636763	Where can I go for more assistance?	4	5023
636764	How do I become a  Computer and Information Systems Managers	5	5023
636765	What education do I need and how do I get it (what schools/training program do you recommend)?	5	5023
636766	What skills do I need and how do I get  them?	5	5023
